benchmark,cluster,ddrfreq,cpufreq,cpu_cycles,inst_retired,l1i_cache_refill,l1d_cache_refill,l2d_cache_refill,l3d_cache_refill,ll_cache_miss_rd,time_run,time_enabled
random_copy_28_25,1,534000000,1200000,5599170000.0,1820760000.0,130,72772200.0,136846000.0,75778800.0,75778800.0,4982050000.0,4982050000.0
random_copy_28_25,1,534000000,1416000,6905550000.0,2015590000.0,41,80601200.0,151515000.0,83353700.0,83353700.0,4987090000.0,4987090000.0
random_copy_28_25,1,534000000,1608000,8005940000.0,2076740000.0,56,83056600.0,156091000.0,85954300.0,85954300.0,4985270000.0,4985270000.0
random_copy_28_25,1,534000000,1800000,9068120000.0,2172870000.0,112,86903700.0,163314000.0,88876700.0,88876700.0,4989820000.0,4989820000.0
random_copy_28_25,1,534000000,2016000,9952130000.0,2198620000.0,122,87933600.0,165242000.0,89859200.0,89859200.0,4985010000.0,4985010000.0
random_copy_28_25,1,534000000,2208000,11044900000.0,2287070000.0,35,91471600.0,171873000.0,93195900.0,93195800.0,4978470000.0,4978470000.0
random_copy_28_25,1,534000000,2352000,11514600000.0,2269670000.0,108,90778500.0,170566000.0,92581500.0,92581500.0,4978560000.0,4978560000.0
random_copy_28_25,1,1320000000,408000,1535020000.0,1223640000.0,96,48805900.0,91562800.0,49907200.0,49907200.0,4983160000.0,4983160000.0
random_copy_28_25,1,1320000000,600000,2640330000.0,1702260000.0,143,67979800.0,127691000.0,69537800.0,69537800.0,4978030000.0,4978030000.0
random_copy_28_25,1,1320000000,816000,3747430000.0,2289280000.0,58,91529400.0,172015000.0,93517700.0,93517700.0,4974340000.0,4974340000.0
random_copy_28_25,1,1320000000,1008000,4763360000.0,2685060000.0,56,107385000.0,201808000.0,109621000.0,109621000.0,4973590000.0,4973590000.0
random_copy_28_25,1,1320000000,1200000,5722130000.0,2866680000.0,55,114656000.0,215443000.0,117918000.0,117918000.0,4986850000.0,4986850000.0
random_copy_28_25,1,1320000000,1416000,6925370000.0,3087150000.0,55,123474000.0,231998000.0,125818000.0,125817000.0,4985100000.0,4985100000.0
random_copy_28_25,1,1320000000,1608000,8009100000.0,3172730000.0,59,126897000.0,238426000.0,129364000.0,129364000.0,4983060000.0,4983060000.0
random_copy_28_25,1,1320000000,1800000,9059140000.0,3282190000.0,130,131275000.0,246668000.0,133681000.0,133681000.0,4986880000.0,4986880000.0
random_copy_28_25,1,1320000000,2016000,9950640000.0,3492160000.0,60,139674000.0,262422000.0,141745000.0,141745000.0,4986420000.0,4986420000.0
random_copy_28_25,1,1320000000,2208000,11049300000.0,3601510000.0,52,144047000.0,270619000.0,146023000.0,146023000.0,4985680000.0,4985680000.0
random_copy_28_25,1,1320000000,2352000,11519000000.0,3664830000.0,49,146579000.0,275381000.0,148611000.0,148611000.0,4985500000.0,4985500000.0
random_copy_28_25,1,1968000000,408000,1531990000.0,1176720000.0,79,46904000.0,88042100.0,48477100.0,48477100.0,4970290000.0,4970290000.0
random_copy_28_25,1,1968000000,600000,2705950000.0,1729870000.0,143,69090500.0,129851000.0,71543700.0,71543700.0,4950230000.0,4950230000.0
random_copy_28_25,1,1968000000,816000,3736290000.0,2152480000.0,62,86039100.0,161720000.0,88456200.0,88456200.0,4980810000.0,4980810000.0
random_copy_28_25,1,1968000000,1008000,4751480000.0,2494290000.0,59,99745700.0,187511000.0,103305000.0,103305000.0,4979470000.0,4979470000.0
random_copy_28_25,1,1968000000,1200000,5708660000.0,2627890000.0,56,105105000.0,197539000.0,108757000.0,108757000.0,4975520000.0,4975520000.0
random_copy_28_25,1,1968000000,1416000,6924190000.0,2792800000.0,142,111701000.0,209944000.0,115821000.0,115820000.0,4984420000.0,4984420000.0
random_copy_28_25,1,1968000000,1608000,8011730000.0,2900890000.0,60,116024000.0,218052000.0,119761000.0,119761000.0,4985950000.0,4985950000.0
random_copy_28_25,1,1968000000,1800000,9036970000.0,3056620000.0,51,122253000.0,229765000.0,126207000.0,126207000.0,4974700000.0,4974700000.0
random_copy_28_25,1,1968000000,2016000,9924010000.0,3058210000.0,53,122316000.0,229876000.0,126802000.0,126802000.0,4973450000.0,4973450000.0
random_copy_28_25,1,1968000000,2208000,11050800000.0,3140670000.0,132,125615000.0,236037000.0,131501000.0,131501000.0,4988290000.0,4988290000.0
random_copy_28_25,1,1968000000,2352000,11494300000.0,3208150000.0,60,128314000.0,241147000.0,133281000.0,133281000.0,4975550000.0,4975550000.0
random_copy_28_25,1,2400000000,408000,1537370000.0,1216490000.0,95,48493400.0,91080600.0,50570300.0,50570300.0,4954300000.0,4954300000.0
random_copy_28_25,1,2400000000,600000,2701370000.0,1728100000.0,73,69057400.0,129805000.0,72159500.0,72159500.0,4963440000.0,4963440000.0
random_copy_28_25,1,2400000000,816000,3746220000.0,2286510000.0,138,91403100.0,171848000.0,94597700.0,94597700.0,4985900000.0,4985900000.0
random_copy_28_25,1,2400000000,1008000,4764860000.0,2614150000.0,64,104546000.0,196501000.0,108845000.0,108845000.0,4980660000.0,4980660000.0
random_copy_28_25,1,2400000000,1200000,5701090000.0,2825950000.0,61,113027000.0,212393000.0,117506000.0,117506000.0,4968910000.0,4968910000.0
random_copy_28_25,1,2400000000,1416000,6914030000.0,2985430000.0,53,119406000.0,224426000.0,123813000.0,123813000.0,4977730000.0,4977730000.0
random_copy_28_25,1,2400000000,1608000,7999630000.0,3053920000.0,54,122146000.0,229537000.0,128232000.0,128232000.0,4979340000.0,4979340000.0
random_copy_28_25,1,2400000000,1800000,9042310000.0,3210480000.0,132,128407000.0,241322000.0,132871000.0,132871000.0,4981560000.0,4981560000.0
random_copy_28_25,1,2400000000,2016000,9923160000.0,3415560000.0,65,136610000.0,256779000.0,140399000.0,140399000.0,4977890000.0,4977890000.0
random_copy_28_25,1,2400000000,2208000,11042000000.0,3340530000.0,58,133609000.0,251089000.0,139570000.0,139570000.0,4988610000.0,4988610000.0
random_copy_28_25,1,2400000000,2352000,11518100000.0,3522070000.0,65,140872000.0,264762000.0,147473000.0,147473000.0,4989640000.0,4989640000.0
random_copy_17_5,0,534000000,408000,1953970000.0,1597710000.0,497,45590800.0,64873100.0,17467.0,17467.0,4992180000.0,4992180000.0
random_copy_17_5,0,534000000,600000,2937670000.0,2407550000.0,529,68936700.0,97502900.0,13309.0,13309.0,4985200000.0,4985200000.0
random_copy_17_5,0,534000000,816000,3944930000.0,3233140000.0,623,92663500.0,130437000.0,4667.0,4667.0,4996070000.0,4996070000.0
random_copy_17_5,0,534000000,1008000,4907130000.0,4013120000.0,502,114639000.0,162440000.0,3303.0,3303.0,4989910000.0,4989910000.0
random_copy_17_5,0,534000000,1200000,6028940000.0,4923470000.0,618,140868000.0,198549000.0,4066.0,4066.0,4985090000.0,4985090000.0
random_copy_17_5,0,534000000,1416000,6957830000.0,5681200000.0,412,162465000.0,230259000.0,2803.0,2803.0,4986640000.0,4986640000.0
random_copy_17_5,0,534000000,1608000,8004100000.0,6538570000.0,490,187052000.0,264612000.0,1670.0,1670.0,4987060000.0,4987060000.0
random_copy_17_5,0,534000000,1800000,8965560000.0,7336430000.0,426,209056000.0,297046000.0,14495.0,14495.0,4981000000.0,4981000000.0
random_copy_17_5,0,1320000000,408000,1954670000.0,1615530000.0,418,46084900.0,65530100.0,681.0,681.0,4990250000.0,4990250000.0
random_copy_17_5,0,1320000000,600000,2938850000.0,2409770000.0,391,68769300.0,97518300.0,1509.0,1509.0,4985000000.0,4985000000.0
random_copy_17_5,0,1320000000,816000,3936330000.0,3217890000.0,421,92214800.0,130512000.0,1513.0,1513.0,4983850000.0,4983850000.0
random_copy_17_5,0,1320000000,1008000,4895630000.0,4000500000.0,399,113837000.0,161459000.0,1567.0,1567.0,4977380000.0,4977380000.0
random_copy_17_5,0,1320000000,1200000,6033580000.0,4925510000.0,503,141496000.0,199639000.0,318.0,318.0,4988230000.0,4988230000.0
random_copy_17_5,0,1320000000,1416000,6961150000.0,5672790000.0,587,162281000.0,229171000.0,697.0,697.0,4989840000.0,4989840000.0
random_copy_17_5,0,1320000000,1608000,7987800000.0,6513590000.0,454,185882000.0,263117000.0,231.0,231.0,4977590000.0,4977590000.0
random_copy_17_5,0,1320000000,1800000,8979520000.0,7320500000.0,596,208539000.0,297163000.0,688.0,688.0,4986690000.0,4986690000.0
random_copy_17_5,0,1968000000,408000,1954400000.0,1599260000.0,457,46057100.0,64636100.0,777.0,777.0,4991490000.0,4991490000.0
random_copy_17_5,0,1968000000,600000,2938180000.0,2411320000.0,570,69115100.0,97531600.0,642.0,642.0,4985130000.0,4985130000.0
random_copy_17_5,0,1968000000,816000,3939140000.0,3221740000.0,547,92506800.0,130009000.0,1450.0,1450.0,4988490000.0,4988490000.0
random_copy_17_5,0,1968000000,1008000,4894390000.0,4005020000.0,515,114902000.0,161797000.0,354.0,354.0,4976850000.0,4976850000.0
random_copy_17_5,0,1968000000,1200000,6000450000.0,4898410000.0,670,139854000.0,198172000.0,447.0,447.0,4961690000.0,4961690000.0
random_copy_17_5,0,1968000000,1416000,6938860000.0,5663950000.0,598,161977000.0,228679000.0,1352.0,1352.0,4973760000.0,4973760000.0
random_copy_17_5,0,1968000000,1608000,7967620000.0,6508450000.0,550,186344000.0,262845000.0,499.0,499.0,4965260000.0,4965260000.0
random_copy_17_5,0,1968000000,1800000,8956940000.0,7326560000.0,586,209485000.0,296405000.0,483.0,483.0,4974310000.0,4974310000.0
random_copy_17_5,0,2400000000,408000,1945840000.0,1594270000.0,585,45479700.0,64488600.0,2864.0,2864.0,4971120000.0,4971120000.0
random_copy_17_5,0,2400000000,600000,2925550000.0,2392170000.0,424,68213000.0,96825900.0,2916.0,2916.0,4962560000.0,4962560000.0
random_copy_17_5,0,2400000000,816000,3918200000.0,3200660000.0,455,90896600.0,129519000.0,5713.0,5713.0,4960880000.0,4960880000.0
random_copy_17_5,0,2400000000,1008000,4884980000.0,3996140000.0,483,113852000.0,161794000.0,3249.0,3249.0,4967130000.0,4967130000.0
random_copy_17_5,0,2400000000,1200000,6028150000.0,4912370000.0,441,139943000.0,199704000.0,7312.0,7312.0,4984490000.0,4984490000.0
random_copy_17_5,0,2400000000,1416000,6958290000.0,5678250000.0,504,162412000.0,230298000.0,6248.0,6248.0,4987400000.0,4987400000.0
random_copy_17_5,0,2400000000,1608000,7988580000.0,6531070000.0,489,186876000.0,264149000.0,6650.0,6650.0,4978110000.0,4978110000.0
random_copy_17_5,0,2400000000,1800000,8959890000.0,7317830000.0,1950,209562000.0,296915000.0,4372.0,4372.0,4975800000.0,4975800000.0
random_copy_17_5,1,534000000,408000,1965100000.0,3982920000.0,47,118101000.0,19664700.0,699.0,699.0,4979780000.0,4979780000.0
random_copy_17_5,1,534000000,600000,2943600000.0,5641820000.0,108,167268000.0,27151800.0,6139.0,6139.0,4968830000.0,4968830000.0
random_copy_17_5,1,534000000,816000,3866810000.0,7055010000.0,53,209154000.0,37149200.0,1503.0,1503.0,5000700000.0,5000700000.0
random_copy_17_5,1,534000000,1008000,4793670000.0,9691890000.0,55,287209000.0,42911400.0,741.0,741.0,4981410000.0,4981410000.0
random_copy_17_5,1,534000000,1200000,5745350000.0,10408700000.0,54,308723000.0,44097700.0,953.0,953.0,5003810000.0,5003810000.0
random_copy_17_5,1,534000000,1416000,6935630000.0,14315900000.0,56,424535000.0,62598200.0,756.0,756.0,4986730000.0,4986730000.0
random_copy_17_5,1,534000000,1608000,8019450000.0,14377400000.0,53,426335000.0,61811300.0,809.0,809.0,4979600000.0,4979600000.0
random_copy_17_5,1,534000000,1800000,9075820000.0,17275800000.0,53,511993000.0,74837000.0,779.0,779.0,4979850000.0,4979850000.0
random_copy_17_5,1,534000000,2016000,9992300000.0,19267700000.0,70,570958000.0,67869300.0,976.0,976.0,4988000000.0,4988000000.0
random_copy_17_5,1,534000000,2208000,11103100000.0,19977600000.0,58,591984000.0,74695500.0,870.0,870.0,4989780000.0,4989780000.0
random_copy_17_5,1,534000000,2352000,11577100000.0,20768700000.0,61,616014000.0,79195500.0,475.0,475.0,4990440000.0,4990440000.0
random_copy_17_5,1,1320000000,408000,1964340000.0,4218680000.0,50,125042000.0,14703800.0,440.0,440.0,4978580000.0,4978580000.0
random_copy_17_5,1,1320000000,600000,2951970000.0,5314180000.0,59,157566000.0,21489500.0,418.0,418.0,4982550000.0,4982550000.0
random_copy_17_5,1,1320000000,816000,3848280000.0,7925940000.0,54,234980000.0,30492700.0,605.0,605.0,4976510000.0,4976510000.0
random_copy_17_5,1,1320000000,1008000,4801550000.0,8658850000.0,52,256673000.0,36111600.0,957.0,957.0,4989100000.0,4989100000.0
random_copy_17_5,1,1320000000,1200000,5716140000.0,10316700000.0,57,305712000.0,41307000.0,834.0,834.0,4977370000.0,4977370000.0
random_copy_17_5,1,1320000000,1416000,6913310000.0,12458200000.0,61,369167000.0,60108000.0,1332.0,1332.0,4970310000.0,4970310000.0
random_copy_17_5,1,1320000000,1608000,8033870000.0,16196300000.0,60,480335000.0,61795200.0,681.0,681.0,4989470000.0,4989470000.0
random_copy_17_5,1,1320000000,1800000,9092600000.0,16503800000.0,64,489220000.0,60376800.0,1312.0,1312.0,4990490000.0,4990490000.0
random_copy_17_5,1,1320000000,2016000,9951200000.0,18072500000.0,49,535516000.0,66886000.0,797.0,797.0,4968990000.0,4968990000.0
random_copy_17_5,1,1320000000,2208000,11089700000.0,19964500000.0,60,591968000.0,67764000.0,874.0,874.0,4985980000.0,4985980000.0
random_copy_17_5,1,1320000000,2352000,11555400000.0,23726800000.0,63,703152000.0,74760800.0,345.0,345.0,4984450000.0,4984450000.0
random_copy_17_5,1,1968000000,408000,1965190000.0,3979260000.0,65,117955000.0,13053100.0,606.0,606.0,4982080000.0,4982080000.0
random_copy_17_5,1,1968000000,600000,2950480000.0,5953630000.0,56,176550000.0,22723400.0,917.0,917.0,4980470000.0,4980470000.0
random_copy_17_5,1,1968000000,816000,3850050000.0,7786650000.0,58,230789000.0,30991000.0,912.0,912.0,4979570000.0,4979570000.0
random_copy_17_5,1,1968000000,1008000,4789570000.0,9801200000.0,53,290532000.0,31485900.0,548.0,548.0,4976370000.0,4976370000.0
random_copy_17_5,1,1968000000,1200000,5729840000.0,10266000000.0,54,304218000.0,32500800.0,371.0,371.0,4989570000.0,4989570000.0
random_copy_17_5,1,1968000000,1416000,6927170000.0,12832500000.0,58,380393000.0,39662700.0,366.0,366.0,4980260000.0,4980260000.0
random_copy_17_5,1,1968000000,1608000,8016080000.0,16235300000.0,58,481257000.0,56082900.0,491.0,491.0,4979030000.0,4979030000.0
random_copy_17_5,1,1968000000,1800000,9081320000.0,16659600000.0,56,493874000.0,60328400.0,385.0,385.0,4984990000.0,4984990000.0
random_copy_17_5,1,1968000000,2016000,9991170000.0,18982200000.0,59,562722000.0,71119100.0,563.0,563.0,4990030000.0,4990030000.0
random_copy_17_5,1,1968000000,2208000,11090500000.0,20483300000.0,55,607011000.0,76010900.0,912.0,912.0,4987330000.0,4987330000.0
random_copy_17_5,1,1968000000,2352000,11596200000.0,21949700000.0,61,651317000.0,75110300.0,1247.0,1247.0,5002760000.0,5002760000.0
random_copy_17_5,1,2400000000,408000,1968600000.0,3989410000.0,80,118254000.0,14670400.0,2463.0,2463.0,4989380000.0,4989380000.0
random_copy_17_5,1,2400000000,600000,2955290000.0,5951270000.0,69,176396000.0,25244300.0,1028.0,1028.0,4988190000.0,4988190000.0
random_copy_17_5,1,2400000000,816000,3852180000.0,7739120000.0,120,229596000.0,30776600.0,1074.0,1074.0,4981530000.0,4981530000.0
random_copy_17_5,1,2400000000,1008000,4793720000.0,8791170000.0,61,260595000.0,31958400.0,599.0,599.0,4980830000.0,4980830000.0
random_copy_17_5,1,2400000000,1200000,5698980000.0,11503800000.0,139,341045000.0,50053800.0,1217.0,1217.0,4963600000.0,4963600000.0
random_copy_17_5,1,2400000000,1416000,6937670000.0,14248200000.0,61,422241000.0,65299000.0,932.0,932.0,4988860000.0,4988860000.0
random_copy_17_5,1,2400000000,1608000,8030870000.0,14442300000.0,146,428532000.0,65815300.0,957.0,957.0,4988340000.0,4988340000.0
random_copy_17_5,1,2400000000,1800000,9087580000.0,16981600000.0,55,503546000.0,85056900.0,2100.0,2100.0,4990400000.0,4990400000.0
random_copy_17_5,1,2400000000,2016000,9963840000.0,19988900000.0,58,592820000.0,95453100.0,5124.0,5124.0,4979150000.0,4979150000.0
random_copy_17_5,1,2400000000,2208000,11060900000.0,20696700000.0,140,613350000.0,100641000.0,1523.0,1523.0,4977330000.0,4977330000.0
random_copy_17_5,1,2400000000,2352000,11536600000.0,20882400000.0,149,619072000.0,112282000.0,2490.0,2490.0,4979620000.0,4979620000.0
random_copy_23_5,0,534000000,408000,1946250000.0,810435000.0,563,23009200.0,40030400.0,38011500.0,38011500.0,4984540000.0,4984540000.0
random_copy_23_5,0,534000000,600000,2925860000.0,915908000.0,640,28039800.0,42857800.0,40793800.0,40793800.0,4980910000.0,4980910000.0
random_copy_23_5,0,534000000,816000,3917690000.0,1012800000.0,598,31493200.0,47375700.0,45082300.0,45082300.0,4972630000.0,4972630000.0
random_copy_23_5,0,534000000,1008000,4888500000.0,1106240000.0,582,33933600.0,52016000.0,49487300.0,49487300.0,4983610000.0,4983610000.0
random_copy_23_5,0,534000000,1200000,6008280000.0,1165650000.0,638,36048000.0,54545900.0,51880000.0,51880000.0,4984550000.0,4984550000.0
random_copy_23_5,0,534000000,1416000,6925590000.0,1213200000.0,665,37301600.0,56787100.0,54011300.0,54011300.0,4982870000.0,4982870000.0
