benchmark,cluster,ddrfreq,cpufreq,inst_retired,cpu_cycles,l1d_cache_refill,l2d_cache_rd,l2d_cache_refill,l3d_cache_rd,l3d_cache_refill,time_run,time_enabled
random_copy_24_11,1,534000000,1008000,6335620000.0,4796920000.0,238062000.0,468069000.0,183443000.0,183446000.0,17765.0,4986690000.0,4986690000.0
random_copy_24_11,1,534000000,1200000,7973510000.0,5712300000.0,299529000.0,589087000.0,230384000.0,230395000.0,6004.0,4976690000.0,4976690000.0
random_copy_24_11,1,534000000,1416000,9352600000.0,6933390000.0,351337000.0,690916000.0,270770000.0,270775000.0,2139.0,4986590000.0,4986590000.0
random_copy_24_11,1,534000000,1608000,8817610000.0,8033010000.0,331338000.0,651439000.0,255690000.0,255694000.0,2345.0,4990570000.0,4990570000.0
random_copy_24_11,1,534000000,1800000,9756120000.0,9083200000.0,366480000.0,720588000.0,281574000.0,281577000.0,1459.0,4986890000.0,4986890000.0
random_copy_24_11,1,534000000,2016000,13363700000.0,9983000000.0,502034000.0,987297000.0,387068000.0,387075000.0,4008.0,4987720000.0,4987720000.0
random_copy_24_11,1,534000000,2208000,14735400000.0,11088100000.0,553563000.0,1088580000.0,426886000.0,426893000.0,2722.0,4988350000.0,4988350000.0
random_copy_24_11,1,534000000,2352000,12498000000.0,11546200000.0,469708000.0,923365000.0,359250000.0,359257000.0,4916.0,4982150000.0,4982150000.0
random_copy_24_11,1,1320000000,408000,2760450000.0,1961180000.0,103700000.0,203945000.0,79984100.0,79986100.0,864.0,4979220000.0,4979220000.0
random_copy_24_11,1,1320000000,600000,3693170000.0,2951730000.0,138745000.0,272849000.0,107270000.0,107274000.0,1619.0,4989190000.0,4989190000.0
random_copy_24_11,1,1320000000,816000,5144270000.0,3845100000.0,193302000.0,380101000.0,148756000.0,148762000.0,6842.0,4977480000.0,4977480000.0
random_copy_24_11,1,1320000000,1008000,5849720000.0,4790060000.0,219751000.0,432118000.0,169611000.0,169613000.0,1103.0,4980440000.0,4980440000.0
random_copy_24_11,1,1320000000,1200000,6675930000.0,5713880000.0,250798000.0,493114000.0,194061000.0,194064000.0,1157.0,4977820000.0,4977820000.0
random_copy_24_11,1,1320000000,1416000,6897310000.0,6924060000.0,259121000.0,509489000.0,200163000.0,200166000.0,1018.0,4979790000.0,4979790000.0
random_copy_24_11,1,1320000000,1608000,9532950000.0,8030630000.0,358281000.0,704336000.0,275501000.0,275508000.0,4961.0,4989840000.0,4989840000.0
random_copy_24_11,1,1320000000,1800000,9400650000.0,9083010000.0,353148000.0,694332000.0,271357000.0,271362000.0,2002.0,4988090000.0,4988090000.0
random_copy_24_11,1,1320000000,2016000,11786200000.0,9962740000.0,442875000.0,870674000.0,340307000.0,340319000.0,2953.0,4978700000.0,4978700000.0
random_copy_24_11,1,1320000000,2208000,14687300000.0,11086500000.0,551679000.0,1084900000.0,424078000.0,424084000.0,2213.0,4989950000.0,4989950000.0
random_copy_24_11,1,1320000000,2352000,14674400000.0,11562000000.0,551303000.0,1084100000.0,422061000.0,422067000.0,2244.0,4992070000.0,4992070000.0
random_copy_24_11,1,1968000000,408000,2741500000.0,1960770000.0,103004000.0,202577000.0,79718600.0,79721500.0,1286.0,4978480000.0,4978480000.0
